"Year","Annual diameter of skirt at hem, 1866 to 1911"
"1866",608
"1867",617
"1868",625
"1869",636
"1870",657
"1871",691
"1872",728
"1873",784
"1874",816
"1875",876
"1876",949
"1877",997
"1878",1027
"1879",1047
"1880",1049
"1881",1018
"1882",1021
"1883",1012
"1884",1018
"1885",991
"1886",962
"1887",921
"1888",871
"1889",829
"1890",822
"1891",820
"1892",802
"1893",821
"1894",819
"1895",791
"1896",746
"1897",726
"1898",661
"1899",620
"1900",588
"1901",568
"1902",542
"1903",551
"1904",541
"1905",557
"1906",556
"1907",534
"1908",528
"1909",529
"1910",523
"1911",531
